
Från Datum Tid (UTC),Till Datum Tid (UTC),Representativt dygn,Nederbördsmängd,Kvalitet
2019-12-19 06:00:01,2019-12-20 06:00:00,2019-12-19,3.0,G
2019-12-20 06:00:01,2019-12-21 06:00:00,2019-12-20,2.6,G
2019-12-21 06:00:01,2019-12-22 06:00:00,2019-12-21,1.9,G
2019-12-22 06:00:01,2019-12-23 06:00:00,2019-12-22,10.7,G
2019-12-23 06:00:01,2019-12-24 06:00:00,2019-12-23,0.2,G
2019-12-24 06:00:01,2019-12-25 06:00:00,2019-12-24,0.0,G
2019-12-25 06:00:01,2019-12-26 06:00:00,2019-12-25,2.4,G
2019-12-26 06:00:01,2019-12-27 06:00:00,2019-12-26,0.6,G
2019-12-27 06:00:01,2019-12-28 06:00:00,2019-12-27,0.0,G
2019-12-28 06:00:01,2019-12-29 06:00:00,2019-12-28,0.5,G
2019-12-29 06:00:01,2019-12-30 06:00:00,2019-12-29,3.7,G
2019-12-30 06:00:01,2019-12-31 06:00:00,2019-12-30,0.0,G
2019-12-31 06:00:01,2020-01-01 06:00:00,2019-12-31,1.8,G
2020-01-01 06:00:01,2020-01-02 06:00:00,2020-01-01,0.7,G
2020-01-02 06:00:01,2020-01-03 06:00:00,2020-01-02,0.0,G
2020-01-03 06:00:01,2020-01-04 06:00:00,2020-01-03,0.0,G
2020-01-04 06:00:01,2020-01-05 06:00:00,2020-01-04,0.0,G
2020-01-05 06:00:01,2020-01-06 06:00:00,2020-01-05,0.3,G
2020-01-06 06:00:01,2020-01-07 06:00:00,2020-01-06,0.0,G
2020-01-07 06:00:01,2020-01-08 06:00:00,2020-01-07,1.3,G
2020-01-08 06:00:01,2020-01-09 06:00:00,2020-01-08,0.0,G
2020-01-09 06:00:01,2020-01-10 06:00:00,2020-01-09,0.0,G
2020-01-10 06:00:01,2020-01-11 06:00:00,2020-01-10,0.0,G
2020-01-11 06:00:01,2020-01-12 06:00:00,2020-01-11,0.0,G
2020-01-12 06:00:01,2020-01-13 06:00:00,2020-01-12,0.0,G
2020-01-13 06:00:01,2020-01-14 06:00:00,2020-01-13,0.0,G
2020-01-14 06:00:01,2020-01-15 06:00:00,2020-01-14,7.0,G
2020-01-15 06:00:01,2020-01-16 06:00:00,2020-01-15,4.1,G
2020-01-16 06:00:01,2020-01-17 06:00:00,2020-01-16,0.0,G
2020-01-17 06:00:01,2020-01-18 06:00:00,2020-01-17,2.7,G
2020-01-18 06:00:01,2020-01-19 06:00:00,2020-01-18,5.6,G
2020-01-19 06:00:01,2020-01-20 06:00:00,2020-01-19,0.1,G
2020-01-20 06:00:01,2020-01-21 06:00:00,2020-01-20,0.0,G
2020-01-21 06:00:01,2020-01-22 06:00:00,2020-01-21,0.0,G
2020-01-22 06:00:01,2020-01-23 06:00:00,2020-01-22,0.0,G
2020-01-23 06:00:01,2020-01-24 06:00:00,2020-01-23,4.0,G
2020-01-24 06:00:01,2020-01-25 06:00:00,2020-01-24,0.0,G
2020-01-25 06:00:01,2020-01-26 06:00:00,2020-01-25,7.0,G
2020-01-26 06:00:01,2020-01-27 06:00:00,2020-01-26,1.5,G
2020-01-27 06:00:01,2020-01-28 06:00:00,2020-01-27,7.6,G
2020-01-28 06:00:01,2020-01-29 06:00:00,2020-01-28,3.9,G
2020-01-29 06:00:01,2020-01-30 06:00:00,2020-01-29,8.7,G
2020-01-30 06:00:01,2020-01-31 06:00:00,2020-01-30,5.2,G
2020-01-31 06:00:01,2020-02-01 06:00:00,2020-01-31,10.0,G
2020-02-01 06:00:01,2020-02-02 06:00:00,2020-02-01,5.0,G
2020-02-02 06:00:01,2020-02-03 06:00:00,2020-02-02,0.0,G
2020-02-03 06:00:01,2020-02-04 06:00:00,2020-02-03,0.0,G
2020-02-04 06:00:01,2020-02-05 06:00:00,2020-02-04,0.0,G
2020-02-05 06:00:01,2020-02-06 06:00:00,2020-02-05,0.0,G
2020-02-06 06:00:01,2020-02-07 06:00:00,2020-02-06,1.9,G
2020-02-07 06:00:01,2020-02-08 06:00:00,2020-02-07,0.0,G
2020-02-08 06:00:01,2020-02-09 06:00:00,2020-02-08,0.0,G
2020-02-10 06:00:01,2020-02-11 06:00:00,2020-02-10,1.8,G
2020-02-11 06:00:01,2020-02-12 06:00:00,2020-02-11,0.0,G
2020-02-12 06:00:01,2020-02-13 06:00:00,2020-02-12,0.0,G
2020-02-13 06:00:01,2020-02-14 06:00:00,2020-02-13,0.0,G
2020-02-17 06:00:01,2020-02-18 06:00:00,2020-02-17,0.0,G
2020-02-18 06:00:01,2020-02-19 06:00:00,2020-02-18,0.0,G
2020-02-19 06:00:01,2020-02-20 06:00:00,2020-02-19,0.0,G
2020-02-20 06:00:01,2020-02-21 06:00:00,2020-02-20,10.0,G
2020-02-21 06:00:01,2020-02-22 06:00:00,2020-02-21,12.5,G
2020-02-22 06:00:01,2020-02-23 06:00:00,2020-02-22,0.0,G
2020-02-23 06:00:01,2020-02-24 06:00:00,2020-02-23,0.0,G
2020-02-24 06:00:01,2020-02-25 06:00:00,2020-02-24,0.0,G
2020-02-25 06:00:01,2020-02-26 06:00:00,2020-02-25,0.0,G
2020-02-26 06:00:01,2020-02-27 06:00:00,2020-02-26,0.0,G
2020-02-27 06:00:01,2020-02-28 06:00:00,2020-02-27,0.0,G
2020-02-28 06:00:01,2020-02-29 06:00:00,2020-02-28,0.9,G
2020-02-29 06:00:01,2020-03-01 06:00:00,2020-02-29,0.0,G
2020-03-01 06:00:01,2020-03-02 06:00:00,2020-03-01,0.9,G
2020-03-02 06:00:01,2020-03-03 06:00:00,2020-03-02,1.2,G
2020-03-03 06:00:01,2020-03-04 06:00:00,2020-03-03,0.0,G
2020-03-04 06:00:01,2020-03-05 06:00:00,2020-03-04,19.3,Y
2020-03-05 06:00:01,2020-03-06 06:00:00,2020-03-05,5.5,G
2020-03-09 06:00:01,2020-03-10 06:00:00,2020-03-09,0.0,G
2020-03-10 06:00:01,2020-03-11 06:00:00,2020-03-10,0.5,G
2020-03-11 06:00:01,2020-03-12 06:00:00,2020-03-11,2.5,G
2020-03-12 06:00:01,2020-03-13 06:00:00,2020-03-12,0.0,G
2020-03-15 06:00:01,2020-03-16 06:00:00,2020-03-15,0.5,G
2020-03-16 06:00:01,2020-03-17 06:00:00,2020-03-16,0.0,G
2020-03-17 06:00:01,2020-03-18 06:00:00,2020-03-17,0.0,G
2020-03-18 06:00:01,2020-03-19 06:00:00,2020-03-18,0.0,G
2020-03-19 06:00:01,2020-03-20 06:00:00,2020-03-19,0.0,G
2020-03-20 06:00:01,2020-03-21 06:00:00,2020-03-20,0.0,G
2020-03-21 06:00:01,2020-03-22 06:00:00,2020-03-21,0.0,G
2020-03-22 06:00:01,2020-03-23 06:00:00,2020-03-22,0.0,G
2020-03-23 06:00:01,2020-03-24 06:00:00,2020-03-23,0.0,G
2020-03-24 06:00:01,2020-03-25 06:00:00,2020-03-24,0.0,G
2020-03-25 06:00:01,2020-03-26 06:00:00,2020-03-25,0.0,G
2020-03-26 06:00:01,2020-03-27 06:00:00,2020-03-26,0.0,G
2020-03-27 06:00:01,2020-03-28 06:00:00,2020-03-27,0.0,G
2020-03-28 06:00:01,2020-03-29 06:00:00,2020-03-28,0.0,G
2020-03-29 06:00:01,2020-03-30 06:00:00,2020-03-29,0.4,G
2020-03-30 06:00:01,2020-03-31 06:00:00,2020-03-30,0.4,G
2020-03-31 06:00:01,2020-04-01 06:00:00,2020-03-31,0.0,G
